"Booking Ref","Example Area","Example Field / Check","Example Value","Populated From Report / Upload","Source Column(s)","Trusted For Calculations?","Current System Behaviour","Expected Result / Flag","Amend Behaviour Notes"
"OTC-01436","Excluded master finance","Master report paid supplier","3694.16","Master Booking Report","Paid (supp.)","No","Not used as trusted supplier payment source","Ignored for supplier paid calculation",""
"OTC-01436","Excluded master finance","Master report projected profit","105.84","Master Booking Report","Profit (projected)","No","Not used; profit is calculated by the system","Ignored for true profit",""
"OTC-01436","Supplier payment actual","Supplier payment row 1","300.00","Supplier Payments TAPs","Payment Value","Yes - actual supplier payment","Stores every supplier payment line separately and matches by booking reference","Supplier payment line stored",""
"OTC-01436","Supplier payment actual","Supplier payment row 2","3394.16","Supplier Payments TAPs","Payment Value","Yes - actual supplier payment","Stores every supplier payment line separately and matches by booking reference","Supplier payment line stored",""
"OTC-01436","Supplier reconciliation","Total supplier paid","3694.16","Supplier Payments TAPs","Sum of Payment Value for booking","Yes","Sums TAPs supplier payments for the booking","Total supplier paid = 3694.16",""
"OTC-01436","Supplier reconciliation","Supplier balance due","0.00","Calculated by system","Expected Supplier Nett minus TAPs supplier payments","Yes","Calculates supplier balance due","Supplier balance due = 0.00",""
"OTC-01436","Supplier reconciliation","Supplier variance","0.00","Calculated by system","Expected Supplier Nett minus supplier paid","Yes","Checks supplier expected cost against actual supplier payments","Supplier variance = 0.00",""
"OTC-01436","Supplier reconciliation","Supplier payment status","paid_in_full","Calculated by system","Expected supplier nett and TAPs total","Yes","Marks paid_in_full if balance is zero","Supplier side reconciled",""
"OTC-01436","Supplier cross-check","Human input supplier total","Example: 3694.16","Supplier Payments TT","Human-entered supplier payment amount","Comparison only","Compares TT human input against TAPs actual supplier payments","Variance should be 0.00 if TT matches TAPs",""
"OTC-01436","Customer receipt actual","Customer gross payment","Example: 3800.00","Customer Payments SINGs / Felloh API","gross_amount","Yes - trusted customer receipt","Stores SINGs/Felloh receipt as trusted customer money received","Customer payment imported",""
"OTC-01436","Customer receipt actual","Actual card/payment fee","Example: 76.00","Customer Payments SINGs / Felloh API","fee_amount","Yes if actual fee supplied","Uses actual fee where available; estimated fee only if actual fee missing","Fee source = actual",""
"OTC-01436","Customer receipt actual","Net settled into trust","Example: 3724.00","Customer Payments SINGs / Felloh API","net_settled_amount or gross minus fee","Yes","Stores or calculates net settled amount","Net settled stored/calculated",""
"OTC-01436","Customer cross-check","Human input customer total","Example: 3800.00","Customer Payments TT / Bank Master Data.xlsx","Booking Credit / Banked","Comparison only","Compares TT human input against SINGs actual customer receipts","Variance should be 0.00 if TT matches SINGs",""
"OTC-01436","Trust reconciliation","Net trust receipts","Example: 3724.00","Calculated by system","SINGs gross customer payments minus actual fees","Yes","Calculates booking-level net receipts","Net trust receipts shown",""
"OTC-01436","Trust reconciliation","Current booking trust balance","Example: 29.84","Calculated by system","Net trust receipts minus TAPs supplier payments minus refunds paid","Yes","Calculates current booking trust position","Booking trust balance shown",""
"OTC-01436","Trust status","Trust status before SINGs import","Incomplete","Trust Reconciliation","Missing SINGs customer payment rows","Yes - status flag","Shows awaiting SINGs/Singhs payment data until trusted receipts exist","Trust incomplete",""
"OTC-01436","Trust status","Trust status after SINGs import","Calculated","Trust Reconciliation","SINGs + TAPs + refunds + bank data","Yes","Shows calculated or calculated with missing data depending on remaining gaps","Trust calculated",""
"OTC-01436","Bank / actual trust","Actual trust bank balance","Example: from latest bank balance","Bank / Trust Statement","Balance","Yes - actual bank position","Uses latest trust balance where imported","Actual trust balance shown",""
"OTC-01436","Bank matching","Bank transaction match","Example: matched or unmatched","Bank / Trust Statement","Description / Transaction Reference","Yes for bank review","Looks for booking references in bank transaction text","Unmatched bank lines become exceptions",""
"OTC-01436","Refunds","Refund due","Example: 0.00","Refund Import","refund_amount_due","Yes","Adds unpaid refunds to required trust balance","Refund liability included",""
"OTC-01436","Refunds","Refund paid","Example: 0.00","Refund Import","refund_amount_paid","Yes","Subtracts paid refunds from booking trust balance","Refund payment included",""
"OTC-01436","Agent commission","Commission due","Example: 0.00","Agent Commission Import","net_commission_due","Yes for true profit","Treats commission as booking cost in profitability","Commission included in true profit",""
"OTC-01436","Insurance","Insurance cost","Example: 0.00","Insurance Costs Import","insurance cost amount","Yes for booking cost review","Adds active insurance cost as a booking cost / supplier liability review item","Insurance included where active",""
"OTC-01436","True profit","Calculated true profit","Example: incomplete until all costs known","Calculated by system","Gross value minus supplier nett minus fees minus commission minus refunds/adjustments/insurance","Yes","System calculates profit; does not use projected profit from master report","True profit shown when enough data exists",""
"OTC-01436","ATOL / compliance","ATOL review status","ATOL review","Master Booking Report","Elements","Review logic","Flags booking for ATOL review based on product mix","ATOL review flag",""
"OTC-01436","Exceptions","Unmatched supplier payment","None expected","Supplier Payments TAPs","Booking Reference","Yes","Creates exception if TAPs payment does not match a booking","No exception when matched",""
"OTC-01436","Exceptions","Duplicate supplier payment","None expected","Supplier Payments TAPs","Duplicate key built from source/ref/supplier/date/method/amount/VAT","Yes","Creates exception if duplicate payment line is detected","No duplicate exception expected",""
"OTC-01436","Exceptions","Estimated card fee used","Only if actual fee missing","Customer Payments SINGs","fee_amount and payment method rules","Review flag","Creates exception if estimated fee is used instead of actual fee","Review estimated fee",""
"OTC-01436","Exceptions","Trust shortfall","Only if actual bank balance is below required trust balance","Trust Reconciliation + Bank Statement","Actual balance minus required trust balance","Yes","Creates critical exception when variance is negative","Trust shortfall exception if negative",""
