"Area","Page / Report","Source / Upload Type","What the system checks","Trusted for calculations?","Result / Flag shown","Notes to amend"
"Bank / trust","Bank Transactions / exceptions","Bank / Trust Statement","Booking references in bank description or transaction reference are matched where possible","Yes","Matched or unmatched bank transaction","Unmatched bank lines need review"
"Bank / trust","Trust Reconciliation","Bank / Trust Statement","Latest trust bank balance is used as actual trust balance when available","Yes","Actual trust balance","If no trust account label exists, latest balance with any balance may be used"
"Trust reconciliation","Trust Reconciliation","SINGs, TAPs, refunds, bank statement","Net trust receipts equal customer gross receipts minus card fees","Yes","Net trust receipts","Uses SINGs only for customer receipts"
"Trust reconciliation","Trust Reconciliation","SINGs, TAPs, refunds, bank statement","Booking trust balance equals net trust receipts minus supplier payments minus refunds paid","Yes","Current booking trust balance","Shows booking-level trust position"
"Trust reconciliation","Trust Reconciliation","SINGs, TAPs, refunds, bank statement","Required trust balance equals positive booking balances plus unpaid refunds plus unmatched customer receipts","Yes","Required trust balance","Margin is not automatically released in MVP"
"Trust reconciliation","Trust Reconciliation","Bank statement and required trust balance","Trust variance equals actual trust bank balance minus required trust balance","Yes","Trust variance","Negative variance is a trust shortfall risk"
"Trust reconciliation","Trust Reconciliation","Bookings with missing data","Bookings are marked incomplete if SINGs data, supplier data, fee data, or commission data is missing","Yes for status","Missing items list","Useful before relying on final trust/profit results"
"Refunds","Refunds / Trust Reconciliation","Refund Import","Refunds are matched to bookings where possible and unpaid refund amount is calculated","Yes","Refunds due, paid, unpaid","Unpaid refunds increase required trust balance"
"Refunds","Exceptions","Refund Import","Overdue refunds are flagged","Yes","Refund overdue exception","Due date needs to be populated for this to work well"
"Agent commissions","Agent Commissions / profit reports","Agent Commission Import","Commission rows are matched to bookings by booking ref","Yes for true profit","Commission due/paid status","Commission is a real booking cost"
"Agent commissions","Exceptions","Agent Commission Import","Cancelled booking with commission still due is flagged","Yes","Cancelled booking commission due exception","Helps stop commission being paid incorrectly"
"Insurance","Insurance Costs / reports","Insurance Import","Insurance cost rows are matched to bookings by booking reference","Yes for cost review","Matched or unmatched insurance cost","Insurance is treated as a booking cost"
"Insurance","Exceptions","Insurance Import","Unmatched active insurance costs are flagged","Yes","Unmatched insurance cost exception","Active/cancelled insurance status wording may need expanding"
"True profit","Weekly Reports / profitability","Bookings, SINGs fees, commission, refunds, insurance","True profit is calculated by the system, not imported projected profit","Yes","True booking profitability report","Projected profit from master booking is not trusted"
"Exceptions","Dashboard / Exceptions","All trusted and comparison sources","System generates exceptions for shortfalls, unmatched rows, duplicates, overpayments, missing data, overdue refunds, ATOL issues, and estimated fees","Yes for review workflow","Open/reviewing/resolved/ignored exceptions","Exceptions are a work queue for Head Office"
"Weekly snapshots","Weekly Reports","Current booking and finance position","Snapshot records weekly values and compares them with the previous snapshot","Yes for movement tracking","New, cancelled, completed, changed value/payment/refund/commission/ATOL movement","Used for week-on-week reporting"
"Reports","Weekly Reports","All imported data","Excel reports can be generated for overview, trust, payments, supplier liability, refunds, commission, profitability, ATOL, movement, and exceptions","Yes for reporting","Report run history and downloads","Reports depend on the quality of imported source data"
"Email reporting","Weekly email","Weekly reports and settings","Manual or scheduled weekly email can send summary figures and reports to recipients","Yes once SMTP configured","Email send history","You use Outlook; SMTP settings still need to be correct in Render"
